[run number],threshold,person1,person2,[step],words-said
102,0.3,animals_google.csv,animals_gigaword.csv,1,[robin]
105,0.3,animals_twitter.csv,animals_gigaword.csv,7,[whale trout eagle panther moose goose caterpillar]
104,0.2,animals_twitter.csv,animals_gigaword.csv,43,[flea pigeon termite jellyfish snake mongoose carp squid swallow dove mole squirrel gazelle hawk salmon dolphin whale owl canary rat bat deer stingray woodpecker antelope rattlesnake python scallop caiman albatross otter walrus kiwi crab dog duck frog alligator trout gorilla chameleon hyena okapi caiman]
106,0.1,animals_wikipedia.csv,animals_gigaword.csv,37,[badger weasel kangaroo lobster raven alligator buffalo snake pelican rat sparrow shark squid skunk mule crocodile tarantula snail gorilla mouse reindeer tortoise pony beaver camel squirrel duck butterfly bonobo baboon rhinoceros tapir donkey poodle caterpillar jaguar panda tapir]
107,0.2,animals_wikipedia.csv,animals_gigaword.csv,26,[duck chicken crocodile dog giraffe python monkey walrus pigeon butterfly alligator mongoose horse lion puma lizard shrimp eel salmon squid cockroach skunk mole rat cuttlefish whale skunk]
108,0.3,animals_wikipedia.csv,animals_gigaword.csv,21,[frog shark chameleon salamander snake rattlesnake eagle beaver wolf panther hawk dove tortoise crocodile kangaroo deer antelope gazelle squirrel bumblebee rabbit squirrel]
111,0.3,animals_gigaword.csv,animals_google.csv,9,[toad wolf elephant parakeet turtle reindeer sheep tiger bear wolf]
109,0.1,animals_gigaword.csv,animals_google.csv,25,[pony grasshopper toad tapir ostrich monkey finch cod eel mink tiger prawn toucan hyena gorilla cockroach okapi python wolf shrimp skunk bonobo scallop turtle bat toad]
110,0.2,animals_gigaword.csv,animals_google.csv,26,[koala woodpecker tapir mongoose rabbit chipmunk rattlesnake otter goose prawn shrimp goat gazelle mammoth giraffe flea badger donkey parrot catfish pig mule cat snake dragonfly elk goat]
112,0.1,animals_google.csv,animals_google.csv,27,[snake nymph parakeet hedgehog scorpion trout deer cat dog gecko dragonfly lizard turtle falcon dolphin fox rhinoceros tiger mink weasel jaguar wombat wolf puma badger pony chimpanzee badger]
